,STATION,LATITUDE,LONGITUDE,COUNTS
152,US10chas003,40.4085,-101.6227,0
153,US10chas004,40.6257,-101.5369,0
154,US10chas005,40.5495,-101.7773,0
155,US10chas006,40.4949,-101.8424,0
156,US10chas007,40.629,-101.9119,0
157,US10chas008,40.5493,-101.9893,0
158,US10chas009,40.6615,-101.4202,0
159,US10chas010,40.5253,-101.6226,0
160,US10chas011,40.5667,-101.7244,0
161,US10chas012,40.4836,-101.9051,0
162,US10chas013,40.6768,-101.9156,0
163,US10chas016,40.5227,-101.9864,0
164,US10chas017,40.6122,-101.3454,0
165,US10chas018,40.5089,-101.3614,0
166,US10chas019,40.5059,-101.4966,0
167,US10chas021,40.4253,-101.4242,0
168,US10chas023,40.6832,-101.6432,0
169,US10chas024,40.3657,-101.4365,0
170,US10chas025,40.4213,-101.7182,0
171,US10chas026,40.6249,-101.7822,0
172,US10chas027,40.4702,-101.748,0
173,US10chas028,40.4688,-101.541,0
174,US10chas029,40.4434,-101.7821,0
175,US10chas030,40.5789,-101.4193,0
176,US10chas031,40.3793,-101.5415,0
177,US10chas032,40.3773,-101.855,0
178,US10chas033,40.393,-101.7795,0
179,US10chas034,40.4309,-101.4868,0
180,US10chas035,40.6539,-101.4379,0
181,US10chas036,40.6376,-101.4573,0
182,US10chas037,40.4152,-101.3746,0
183,US10chas038,40.4705,-101.746,0
184,US10cher001,42.3495,-101.1024,0
185,US10cher004,42.1461,-100.5307,0
186,US10cher005,42.872,-100.5448,0
187,US10cher006,42.3039,-100.2193,0
188,US10cher007,42.942,-100.71,0
189,US10cher008,42.9975,-100.2211,0
190,US10cher009,42.4568,-100.5756,0
191,US10cher010,42.198,-101.777,0
192,US10cher011,42.6624,-100.4779,0
193,US10cher012,42.4781,-100.9129,0
194,US10cher013,42.3536,-100.6312,0
195,US10cher014,42.293,-100.3597,0
196,US10cher016,42.9375,-101.2438,0
197,US10cher017,42.7032,-100.6163,0
198,US10cher018,42.9955,-101.7119,0
199,US10cher019,42.8679,-101.4056,0
200,US10cher022,42.9816,-100.5682,0
201,US10cher023,42.6315,-100.6702,0
202,US10cher024,42.82,-101.2825,0
203,US10cher025,42.6558,-100.2688,0
204,US10cher026,42.4186,-101.557,0
205,US10cher027,42.8978,-101.2733,0
206,US10cher028,42.8151,-101.613,0
207,US10cher032,42.6638,-100.6651,0
208,US10cher034,42.8918,-100.5877,0
209,US10chey002,41.2638,-102.8855,0
210,US10chey003,41.4098,-102.972,0
