"","STATION","LATITUDE","LONGITUDE"
"161","USC00047888",33.7442,-117.8667
"162","USC00047902",34.4167,-119.6844
"163","USC00047916",36.9878,-121.9994
"164","USC00047965",38.4558,-122.7133
"165","USC00048045",40.4833,-124.1039
"166","USC00048218",39.5833,-120.3706
"167","USC00048353",37.9672,-120.3872
"168","USC00048380",37.5122,-119.6331
"169","USC00048560",37.9994,-121.3178
"170","USC00048587",39.5861,-122.5342
"171","USC00048758",39.1678,-120.1428
"172","USC00048839",35.0233,-118.7497
"173","USC00049035",35.7636,-117.3908
"174","USC00049053",41.96,-121.4744
"175","USC00049099",34.1281,-116.0369
"176","USC00049122",39.1467,-123.2103
"177","USC00049152",34.0697,-118.4428
"178","USC00049325",34.5292,-117.2928
"179","USC00049367",36.3283,-119.2997
"180","USC00049452",35.5892,-119.3519
"181","USC00049473",36.9308,-121.7692
"182","USC00049490",40.7353,-122.9442
"183","USC00049699",39.5231,-122.3047
"184","USC00049742",38.5253,-121.9778
"185","USC00049781",38.6828,-121.7939
"186","USC00049855",37.7503,-119.5897
"187","USC00049866",41.7031,-122.6414
"188","USC00050454",39.4053,-105.4764
"189","USC00050848",39.9919,-105.2667
"190","USC00051071",38.8247,-106.1275
"191","USC00051121",39.3061,-102.2608
"192","USC00051179",39.7406,-104.1275
"193","USC00051294",38.46,-105.2256
"194","USC00051528",39.2203,-105.2783
"195","USC00051564",38.8575,-102.3328
"196","USC00051772",39.1014,-108.7339
"197","USC00051886",37.3444,-108.595
"198","USC00051959",38.8739,-106.9772
"199","USC00052184",37.6911,-106.3078
"200","USC00052281",39.6244,-106.0336
"201","USC00052446",38.4758,-102.7769
"202","USC00053005",40.5764,-105.0858
"203","USC00053359",39.5556,-107.3383
"204","USC00053496",40.2669,-105.8322
"205","USC00053662",38.5253,-106.9672
"206","USC00053867",40.4925,-107.2547
"207","USC00053951",37.7494,-107.095
"208","USC00054082",40.5453,-102.3411
"209","USC00054388",38.0633,-102.93
"210","USC00054452",39.49,-105.0953
"211","USC00054603",38.7625,-102.7997
"212","USC00054770",38.0936,-102.6306
"213","USC00054834",38.0636,-103.2153
"214","USC00055531",37.1997,-108.4892
"215","USC00055706",37.5811,-106.1867
"216","USC00055722",38.4858,-107.8792
"217","USC00056266",39.1136,-108.3506
"218","USC00057167",38.0383,-103.6947
"219","USC00057936",40.4883,-106.8233
"220","USC00058184",38.8183,-106.6086
"221","USC00058582",37.3806,-107.5811
"222","USC00058756",40.7442,-106.2792
"223","USC00058781",37.63,-104.7956
"224","USC00058839",40.4256,-105.2103
"225","USC00058931",38.1314,-105.4661
"226","USC00059243",40.0819,-102.2069
"227","USC00059295",40.1236,-102.7217
"228","USC00062658",41.95,-73.3667
"229","USC00065445",41.9725,-73.2208
"230","USC00068138",41.795,-72.2286
"231","USC00072730",39.1467,-75.5056
"232","USC00079605",39.7739,-75.5414
"233","USC00080211",29.7258,-85.0206
"234","USC00080228",27.2178,-81.8742
"235","USC00080369",27.5947,-81.5267
"236","USC00080478",27.8861,-81.8325
"237","USC00081046",28.6164,-82.3658
"238","USC00081544",30.7806,-85.5503
"239","USC00082229",29.0097,-81.2981
"240","USC00082850",25.8489,-81.3897
"241","USC00082915",29.755,-81.5389
"242","USC00082944",30.6669,-81.4525
"243","USC00083163",26.1019,-80.2011
"244","USC00083207",27.4419,-80.3508
"245","USC00083470",30.2717,-82.1856
"246","USC00083909",25.8175,-80.2858
"247","USC00083956",29.8286,-82.5972
"248","USC00084366",30.2875,-81.3928
"249","USC00084731",30.1853,-82.5942
"250","USC00085275",30.4653,-83.4022
"251","USC00085612",28.1136,-80.6539
"252","USC00085895",26.84,-81.0872
"253","USC00085973",27.9378,-81.5992
"254","USC00086078",26.1653,-81.6842
"255","USC00086240",30.5317,-86.4928
"256","USC00086414",29.1639,-82.0778
"257","USC00087205",28.0208,-82.1386
"258","USC00087851",28.3378,-82.26
"259","USC00087886",27.7683,-82.6256
"260","USC00088620",27.1897,-80.2397
"261","USC00088824",28.1522,-82.7539
"262","USC00088942",28.6242,-80.8169
"263","USC00089401",27.5478,-81.7994
"264","USC00090140",31.5339,-84.1489
"265","USC00090969",34.8544,-83.9444
"266","USC00091340",31.1681,-81.5022
"267","USC00091500",31.1903,-84.2036
"268","USC00091640",33.5972,-85.0806
"269","USC00091665",34.2042,-84.7925
"270","USC00091732",34.0589,-85.2339
"271","USC00091982",34.8878,-83.3967
"272","USC00092266",31.985,-83.7747
"273","USC00092283",34.5181,-83.5286
"274","USC00092450",31.7672,-84.7931
"275","USC00092966",32.2003,-83.2058
"276","USC00093465",30.74,-82.1278
"277","USC00093621",34.3006,-83.86
"278","USC00093754",31.9881,-81.9522
"279","USC00094133",34.3517,-82.93
"280","USC00094170",32.2842,-83.4681
"281","USC00094648",34.4758,-84.4461
"282","USC00094941",34.8531,-85.3142
"283","USC00095314",33.0125,-82.3914
"284","USC00095874",33.0831,-83.2497
"285","USC00096087",31.1769,-83.7492
"286","USC00097600",34.2414,-85.1583
"287","USC00098535",32.6864,-84.5208
"288","USC00098666",30.9139,-83.8611
"289","USC00098703",31.4461,-83.4767
"290","USC00098740",34.5786,-83.3319
"291","USC00099141",33.4028,-82.6222
"292","USC00099157",33.7264,-82.7058
"293","USC00099186",31.2514,-82.3128
"294","USC00099291",32.8861,-85.1839
"295","USC00100010",42.9536,-112.8253
"296","USC00100470",44.0708,-111.4564
"297","USC00101079",48.6928,-116.3103
"298","USC00101408",44.5733,-116.6753
"299","USC00101514",44.5228,-116.0481
"300","USC00102187",44.7442,-116.4325
"301","USC00102676",43.7792,-111.1111
"302","USC00102707",44.2436,-112.2003
"303","USC00102942",43.8544,-116.4664
"304","USC00103143",46.1,-115.5447
"305","USC00103297",43.0331,-112.4325
"306","USC00103448",44.1011,-115.9694
"307","USC00103631",42.9403,-115.3231
"308","USC00103732",42.5631,-111.7594
"309","USC00103771",45.9414,-116.1175
"310","USC00104140",42.5972,-114.1378
"311","USC00104295",42.3528,-114.5739
"312","USC00104442",43.8383,-115.8319
"313","USC00104598",44.4203,-111.3711
"314","USC00104670",42.7325,-114.5192
"315","USC00104831",47.5333,-116.1333
"316","USC00105275",42.1231,-111.3133
"317","USC00105462",43.9178,-113.6153
"318","USC00105708",44.8872,-116.1047
"319","USC00106152",46.7281,-116.9558
"320","USC00106388",44.9714,-116.2933
"321","USC00106542",42.2339,-113.8925
"322","USC00106844",43.8022,-116.9442
"323","USC00106877",42.6117,-113.7628
"324","USC00106891",44.0764,-116.9311
